Date,DC_mean,A_mean,CA_mean,LC_mean,O_mean
1987-01-01,,,,,
1988-01-01,,,,,
1989-01-01,,,,,
1990-01-01,,,,,
1991-01-01,0.32880000000000004,0.1456,0.1488,0.32480000000000003,0.02319999999999998
1991-05-01,0.35049648241206033,0.11040000000000001,0.13497085427135677,0.37211256281407035,0.008205025125628141
1992-01-01,0.3904964824120603,0.09519999999999999,0.12857085427135678,0.3657125628140704,0.0050050251256281405
1992-05-01,0.4318859560962708,0.0736,0.13072223271747205,0.33463286356595,0.00420502512562814
1993-01-01,0.4366859560962708,0.06000000000000001,0.13152223271747204,0.29063286356595003,0.00340502512562814
1993-05-01,0.47118420171030584,0.0312,0.12356233296809863,0.2773456455208373,0.0018050251256281403
1994-01-01,0.5182877192982456,0.057600000000000005,0.10619147869674184,0.2196330827067669,0.0008
1994-05-01,0.5503359605042757,0.0376,0.08342162945051067,0.22471448974194277,0.00050251256281406
1995-01-01,0.5233464868200652,0.058399999999999994,0.0836702510043954,0.23979418899006308,0.0013025125628140601
1995-05-01,0.550475600744116,0.0472,0.08296139024490172,0.2706600117748732,0.0013025125628140601
1996-01-01,0.5223773551300808,0.05600000000000001,0.09492128999427515,0.292747229819986,0.00450251256281406
1996-05-01,0.5215049933210356,0.029599999999999998,0.09721676738120982,0.3107613001717448,0.00450251256281406
1997-01-01,0.4670567521150054,0.048,0.11918661662744098,0.3256798931365689,0.0056
1997-05-01,0.47975675211500535,0.027200000000000002,0.113886616627441,0.33747989313656895,0.0048000000000000004
1998-01-01,0.4526276381909547,0.04,0.10819547738693466,0.3642140703517588,0.0048000000000000004
1998-05-01,0.4594276381909547,0.0312,0.09369547738693466,0.3825140703517588,0.0016
1999-01-01,0.4203,0.0512,0.0994,0.40049999999999997,0.0032
1999-05-01,0.4476000000000001,0.0328,0.0804,0.4138,0.0016
2000-01-01,0.4157,0.0496,0.0833,0.42919999999999997,0.0016
2000-05-01,0.44126190476190474,0.0368,0.07422130325814537,0.42440802005012535,0.0016
2001-01-01,0.40886190476190476,0.048799999999999996,0.09032130325814536,0.4285080200501253,0.0016
2001-05-01,0.42446190476190476,0.028800000000000003,0.08052130325814535,0.4477080200501254,0.0
2002-01-01,0.37716190476190475,0.0344,0.09152130325814536,0.4664080200501253,0.013600000000000001
2002-05-01,0.3924103896103896,0.017599999999999998,0.0872627173995595,0.4749979190400243,0.013600000000000001
2003-01-01,0.3628484848484848,0.017599999999999998,0.10994141414141415,0.48138989898989903,0.013600000000000001
2003-05-01,0.3937308969087864,0.0056,0.09139669052332369,0.48173964773361766,0.013600000000000001
2004-01-01,0.3781308969087864,0.0056,0.11959669052332367,0.4649396477336175,0.013600000000000001
2004-05-01,0.40516439944685745,0.0,0.11279466006647088,0.46478533301280545,0.0
2004-10-01,0.4136492479317059,0.00133333333333332,0.12885223069663035,0.4644621006895731,0.0
2005-01-01,0.40004924793170593,0.00133333333333332,0.14485223069663034,0.4620621006895731,0.0
2005-03-01,0.41488683587140435,0.00133333333333332,0.1573969543147208,0.45945901861252114,0.0
2005-05-01,0.44999437355984656,0.00133333333333332,0.11419695431472081,0.4747514809240789,0.0
2005-10-01,0.47442753768844204,0.00666666666666664,0.1161989847715736,0.45570579564489117,0.0
2006-01-01,0.46189420435510875,0.00613333333333332,0.11639999999999999,0.43863912897822444,0.0
2006-03-01,0.49762753768844215,0.00613333333333332,0.0844,0.45277246231155777,0.0
2006-05-01,0.49034794172884616,0.00613333333333332,0.0608,0.459365189584285,0.0
2006-10-01,0.48884040404040385,0.00746666666666664,0.08959999999999999,0.4582060606060606,0.0
2007-01-01,0.4709737373737373,0.003733333333333319,0.13199999999999998,0.4174060606060606,0.0008
2007-03-01,0.5115070707070706,0.0029333333333333195,0.13040000000000002,0.4144727272727273,0.0008
2007-05-01,0.5709576569717272,0.0029333333333333195,0.1152,0.35635547434140397,0.0008
2007-10-01,0.6162505862646566,0.0029333333333333195,0.142,0.31308274706867667,0.0008
2008-01-01,0.6258505862646565,0.008799999999999999,0.1668,0.24054941373534336,0.0008
2008-03-01,0.7077172529313231,0.007199999999999998,0.15465284974093266,0.22534941373534334,0.00133333333333332
2008-05-01,0.7340523133803734,0.007199999999999998,0.16315854922279793,0.15963611494432434,0.00133333333333332
2008-10-01,0.7532683937823833,0.012533333333333318,0.20821139896373056,0.13108670120898097,0.00133333333333332
2009-01-01,0.7199350604490501,0.014933333333333318,0.23421139896373058,0.10122003454231432,0.00213333333333332
2009-03-01,0.7996683937823834,0.010399999999999979,0.23327402522635685,0.08442003454231432,0.00213333333333332
2009-05-01,0.7689007170147066,0.010399999999999979,0.2403464280106767,0.06147053959281936,0.0008
2009-10-01,0.8132323232323232,0.013066666666666638,0.24690335479143766,0.04985050505050502,0.0008
2010-01-01,0.7788323232323233,0.018133333333333317,0.23705050505050504,0.04318383838383836,0.0008
2010-03-01,0.8561656565656566,0.015733333333333318,0.22160050505050505,0.02638383838383836,0.0
2010-05-01,0.8168323232323231,0.01306666666666666,0.20843787878787876,0.019383838383838357,0.0
2011-01-01,0.8281333333333333,0.02186666666666666,0.17991262626262627,0.025533333333333318,0.0016
2011-03-01,0.8228,0.0192,0.16455,0.03753333333333332,0.0016
2011-05-01,0.8361999999999998,0.014799999999999999,0.16235,0.03103333333333332,0.0016
2012-03-01,0.8228666666666665,0.02413333333333332,0.15302882205513785,0.03769999999999998,0.0016
2012-05-01,0.8367764411027568,0.02864461152882204,0.13658646616541353,0.04271503759398494,0.0016
