DateTime,Temperature,MMM,dhw,Acute thermal stress,excess,nb_exces
1987-01-01,27.96141815185547,28.37205499218356,0.0,0,0,52
1987-01-02,27.90024757385254,28.37205499218356,0.0,0,0,52
1987-01-03,27.86687660217285,28.37205499218356,0.0,0,0,52
1987-01-04,27.866561889648438,28.37205499218356,0.0,0,0,52
1987-01-05,27.898460388183594,28.37205499218356,0.0,0,0,52
1987-01-06,27.963605880737305,28.37205499218356,0.0,0,0,52
1987-01-07,28.0604305267334,28.37205499218356,0.0,0,0,52
1987-01-08,28.18898582458496,28.37205499218356,0.0,0,0,52
1987-01-09,28.310075759887695,28.37205499218356,0.0,0,0,52
1987-01-10,28.39679718017578,28.37205499218356,0.00353459828460296,0,1,52
1987-01-11,28.45878028869629,28.37205499218356,0.015923926357849894,0,1,52
1987-01-12,28.504030227661133,28.37205499218356,0.0347775314260745,0,1,52
1987-01-13,28.53905487060547,28.37205499218356,0.05863465691491854,0,1,52
1987-01-14,28.53598976135254,28.37205499218356,0.08205390965334404,0,1,52
1987-01-15,28.486915588378906,28.37205499218356,0.09846256625267914,0,1,52
1987-01-16,28.425933837890625,28.37205499218356,0.10615954421083121,0,1,52
1987-01-17,28.38671112060547,28.37205499218356,0.10825327684253239,0,1,52
1987-01-18,28.405290603637695,28.37205499218356,0.11300122133598021,0,1,52
1987-01-19,28.491430282592773,28.37205499218356,0.13005483425158204,0,1,52
1987-01-20,28.61235237121582,28.37205499218356,0.16438303125619058,0,1,52
1987-01-21,28.730241775512695,28.37205499218356,0.21555257173178127,0,1,52
1987-01-22,28.807138442993164,28.37205499218356,0.2777073504188675,0,1,52
1987-01-23,28.809377670288086,28.37205499218356,0.340182018719514,0,1,52
1987-01-24,28.721525192260742,28.37205499218356,0.3901063330162542,0,1,52
1987-01-25,28.582155227661133,28.37205499218356,0.42012065237019314,0,1,52
1987-01-26,28.43537139892578,28.37205499218356,0.4291658533333675,0,1,52
1987-01-27,28.32370948791504,28.37205499218356,0.4291658533333675,0,0,52
1987-01-28,28.2928524017334,28.37205499218356,0.4291658533333675,0,0,52
1987-01-29,28.366836547851562,28.37205499218356,0.4291658533333675,0,0,52
1987-01-30,28.51523780822754,28.37205499218356,0.4496205413396501,0,1,52
1987-01-31,28.68931007385254,28.37205499218356,0.4949426958637899,0,1,52
1987-02-01,28.84172248840332,28.75843702043806,0.5068406198588272,0,1,52
1987-02-02,28.92527961730957,28.75843702043806,0.5306752765547574,0,1,52
1987-02-03,28.916624069213867,28.75843702043806,0.5532734263798729,0,1,52
1987-02-04,28.83934783935547,28.75843702043806,0.5648321147966457,0,1,52
1987-02-05,28.725502014160156,28.75843702043806,0.5648321147966457,0,0,52
1987-02-06,28.607147216796875,28.75843702043806,0.5648321147966457,0,0,52
1987-02-07,28.514982223510742,28.75843702043806,0.5648321147966457,0,0,52
1987-02-08,28.468366622924805,28.75843702043806,0.5648321147966457,0,0,52
1987-02-09,28.468412399291992,28.75843702043806,0.5648321147966457,0,0,52
1987-02-10,28.506492614746094,28.75843702043806,0.5648321147966457,0,0,52
1987-02-11,28.579336166381836,28.75843702043806,0.5648321147966457,0,0,52
1987-02-12,28.677946090698242,28.75843702043806,0.5648321147966457,0,0,52
1987-02-13,28.78626251220703,28.75843702043806,0.568807185049356,0,1,52
1987-02-14,28.884483337402344,28.75843702043806,0.5868138017585396,0,1,52
1987-02-15,28.964155197143555,28.75843702043806,0.6162021127164675,0,1,52
1987-02-16,29.015840530395508,28.75843702043806,0.6529740427103887,0,1,52
1987-02-17,29.030715942382812,28.75843702043806,0.6918710315596392,0,1,52
1987-02-18,29.0047607421875,28.75843702043806,0.7270601346667023,0,1,52
1987-02-19,28.947309494018555,28.75843702043806,0.754041916606773,0,1,52
1987-02-20,28.86937713623047,28.75843702043806,0.7698905045771173,0,1,52
1987-02-21,28.78273582458496,28.75843702043806,0.773361762312389,0,1,52
1987-02-22,28.701276779174805,28.75843702043806,0.773361762312389,0,0,52
1987-02-23,28.651430130004883,28.75843702043806,0.773361762312389,0,0,52
1987-02-24,28.646284103393555,28.75843702043806,0.773361762312389,0,0,52
1987-02-25,28.670074462890625,28.75843702043806,0.773361762312389,0,0,52
1987-02-26,28.70838737487793,28.75843702043806,0.773361762312389,0,0,52
1987-02-27,28.746702194213867,28.75843702043806,0.773361762312389,0,0,52
1987-02-28,28.755281448364258,28.75843702043806,0.773361762312389,0,0,52
1987-03-01,28.73870849609375,29.36600765105217,0.773361762312389,0,0,52
1987-03-02,28.73683738708496,29.36600765105217,0.773361762312389,0,0,52
1987-03-03,28.78631591796875,29.36600765105217,0.773361762312389,0,0,52
1987-03-04,28.92197608947754,29.36600765105217,0.773361762312389,0,0,52
1987-03-05,29.09767723083496,29.36600765105217,0.773361762312389,0,0,52
1987-03-06,29.24918556213379,29.36600765105217,0.773361762312389,0,0,52
1987-03-07,29.379106521606445,29.36600765105217,0.7752330295344285,0,1,52
1987-03-08,29.489089965820312,29.36600765105217,0.7928162173584491,0,1,52
1987-03-09,29.576704025268555,29.36600765105217,0.8229156993893615,0,1,52
1987-03-10,29.600059509277344,29.36600765105217,0.8563516791358151,0,1,52
1987-03-11,29.544668197631836,29.36600765105217,0.8818746143614818,0,1,52
1987-03-12,29.448638916015625,29.36600765105217,0.8936790807848328,0,1,52
1987-03-13,29.351858139038086,29.36600765105217,0.8936790807848328,0,0,52
1987-03-14,29.290746688842773,29.36600765105217,0.8936790807848328,0,0,52
1987-03-15,29.282920837402344,29.36600765105217,0.8936790807848328,0,0,52
