Scorpaenodes guamensis,C
Bothus pantherinus,C
Ostracion meleagris,C
Pomachromis fuscidorsalis,O
Plectroglyphidodon lacrymatus,O
Chaetodon unimaculatus,Co
Blenniella sp.,C
Liza vaigiensis,O
Acanthurus lineatus,H
Gymnothorax javanicus,Pi
Neoniphon argenteus,C
Cephalopholis argus,C
Pseudanthias olivaceus,C
Pterois antennata,C
Valenciennea strigata,C
Neocirrhites armatus,C
Apogon fraenatus,O
Gymnothorax flavimarginatus,C
Himantura fai,C
Diodon liturosus,C
Dascyllus flavicaudus,P
Pygoplites diacanthus,O
Heniochus chrysostomus,Co
Naso lituratus,H
Chaetodon lunulatus,Co
Aphareus furca,Pi
Ptereleotris evides,P
Eviota afelei,P
Petroscirtes xestus,H
Chaetodon vagabundus,Co
Crenimugil crenilabis,P
Scarus juv,H
Cirripectes variolosus,H
Ellochelon vaigiensis,P
Chromis agilis,O
Stethojulis bandanensis,P
Labroides bicolor,C
Corythoichthys flavofasciatus,C
Caranx melampygus,C
Ctenochaetus binotatus,H
Scorpaenopsis diabolus,C
Pristiapogon fraenatus,C
Rhinecanthus rectangulus,O
Coryphopterus neophytus,O
Leptoscarus vaigiensis,H
Acanthurus triostegus,H
Naso unicornis,H
Acanthurus pyroferus,H
Bothus mancus,C
Lutjanus gibbus,C
Myripristis murdjan,P
Canthigaster solandri,H
Rhinecanthus aculeatus,O
Naso annulatus,O
Epinephelus hexagonatus,C
Elegatis bipinnulata,P
Scarus ghobban,H
Cheilinus oxycephalus,C
Sufflamen fraenatus,O
Saurida nebulosa,Pi
Scarus juv.,H
Cheilinus chlorourus,C
Negaprion acutidens,Pi
Ostorhinchus nigrofasciatus,C
Chaetodon lunula,O
Forcipiger longirostris,C
Myripristis kuntee,P
Acanthurus nigricauda,H
Synodus jaculum,O
Lethrinus olivaceus,C
Scarus niger,H
Cheilodipterus macrodon,C
Scarus longipinnis,H
Cephalopholis urodeta,Pi
Caracanthus unipinna,O
Variola louti,O
Amblyeleotris katherine,C
Grammistes sexlineatus,C
Upeneus vittatus,C
Coryphopterus duospilus,O
Stegastes punctatus,H
Saurida gracilis,C
Acanthurus nigroris,H
Paragobiodon lacunicolus,C
Stegastes albifasciatus,O
Mulloidichthys flavolineatus+vani,C
Parupeneus barberinus,C
Lethrinus amboinensis,Pi
Acanthurus leucopareius,H
Triaenodon obesus,C
Scarus altipinnis,H
Balistoides viridescens,C
Centropyge loriculus,O
Gnatholepis cauerensis,O
Echidna nebulosa,C
Scarus frenatus,H
Tylosurus crocodilus,Pi
Ctenochaetus striatus,H
Centropyge bispinosa,O
Scarus forsteni,H
Siganus spinus,O
Aspidontus taeniatus,C
Lutjanus fulvus,C
Pervagor aspricaudus,O
Thalassoma trilobatum,C
Canthigaster bennetti,H
Lutjanus kasmira,C
Aulostomus chinensis,C
Chrysiptera glauca,H
Thalassoma hardwicke,C
Dascyllus trimaculatus,O
Sargocentron spiniferum,C
Amblycirrhitus bimacula,C
Bodianus axillaris,C
Naso brachycentron,H
Plectroglyphidodon dickii,O
Carcharhinus amblyrhynchos,Pi
Pseudobalistes flavimarginatus,Co
Ptereleotris heteroptera,P
Halichoeres ornatissimus,C
Neoniphon opercularis,C
Ctenochaetus marginatus,H
Acanthurus thompsoni,O
Exallias brevis,Co
Ostorhinchus angustatus,C
Pristiapogon kallopterus,C
Chrysiptera leucopoma,H
Platax orbicularis,O
Cetoscarus bicolor,H
Stegastes fasciolatus,H
Arothron meleagris,Co
Pseudocheilinus evanidus,C
Pseudocheilinus octotaenia,C
Cirrhitus pinnulatus,C
Cirrhilabrus scottorum,C
Echeneis naucrates,C
Lepidozygus tapeinosoma,P
Halichoeres melasmapomus,C
Scarus sp,H
Zebrasoma veliferum,O
Pomacentrus pavo,O
Chaetodon reticulatus,Co
Myripristis amaena,P
Iniistius pavo,C
Apogon nigrofasciatus,C
Neoniphon sammara,C
Parupeneus multifasciatus,C
