Date,Stock,Fish population,Recruitment rate,Algae,Calcified Algae,Herbivory,Habitat complexity,Turf,Space available
1991-01-01,0.3426160337552743,0.49932262720477943,0.0,0.15075334733663495,0.1532489107253476,0.22131579946076033,0.0,0.2747539207007299,0.06190360430186424
1991-01-31,0.3531782957432855,0.46841842528079275,0.0,0.14113286285784016,0.14925273036146236,0.23174717912136822,0.0,0.24738678935843667,0.0939228787752239
1991-02-28,0.363036406932096,0.4395745034850719,0.0,0.132153744010965,0.14552296202183615,0.2414831334712689,0.0,0.221844133438963,0.12380753495035958
1991-03-01,0.36338848233169635,0.438544363420939,0.0,0.13183306119500518,0.14538975600970663,0.2418308461266225,0.0,0.22093189572755323,0.12487484409947157
1991-03-31,0.37373273056436396,0.38927805791013315,0.0,0.12238393387440005,0.14144741497929994,0.27287685335279527,0.0,0.1938269424955293,0.15669008631738673
1991-04-30,0.38407697879703157,0.34001175239932724,0.0,0.11293480655379493,0.13750507394889325,0.303922860578968,0.0,0.16672198926350537,0.18850532853530194
1991-05-01,0.3844217870714538,0.3383695422156337,0.0,0.11261983564310808,0.13737366258121303,0.3049577274865071,0.0,0.1658184908224379,0.18956583660923243
1991-05-31,0.3830393427989022,0.3915094527310252,0.0,0.11063017890485152,0.13647572544545208,0.2808736458634351,0.0,0.18265118548435186,0.17748235211687227
1991-06-30,0.3816568985263506,0.4446493632464168,0.0,0.10864052216659495,0.1355777883096911,0.2567895642403631,0.0,0.1994838801462658,0.1653988676245121
1991-07-31,0.3802283727780473,0.4995606041123214,0.0,0.10658454353706316,0.13464991993607145,0.231902679896522,0.0,0.21687766463024355,0.15291260031573994
1991-08-31,0.37879984702974395,0.554471844978226,0.0,0.10452856490753139,0.13372205156245182,0.2070157955526809,0.0,0.2342714491142213,0.14042633300696777
1991-09-30,0.3774174027571924,0.6076117554936176,0.0,0.10253890816927481,0.13282411442669084,0.18293171392960889,0.0,0.2511041437761352,0.12834284851460762
1991-10-01,0.37737132128144063,0.6093830858441306,0.0,0.1024725862779996,0.13279418318883215,0.1821289112088398,0.0,0.25166523359819903,0.1279400656981956
1991-10-31,0.376005805245151,0.5780406234621742,0.0,0.1004956037325376,0.1318978573630901,0.1795584687492451,0.0,0.2684011888759789,0.11593450508090564
1991-11-30,0.3746402892088613,0.5466981610802177,0.0,0.09851862118707559,0.13100153153734803,0.17698802628965038,0.0,0.2851371441537588,0.10392894446361567
1991-12-31,0.373229255971362,0.5143109499521961,0.0,0.09647573922343153,0.13007532818408124,0.17433190241473584,0.0,0.3024309646074647,0.09152319849241605
1992-01-01,0.3731837387701523,0.5132662012061309,0.0,0.09640983980524946,0.1300454506565565,0.17424622099941603,0.0,0.3029888297833907,0.09112301313850638
1992-01-31,0.36615093126929305,0.48192373882417444,0.0,0.09112488411740494,0.1307875198495545,0.1716757785398213,0.0,0.3130194523539583,0.09195670601096187
1992-02-29,0.35935255068512906,0.4516260251882832,0.0,0.08601609361915523,0.1315048534027859,0.16919101749554644,0.0,0.32271572083884026,0.09276260912100218
1992-03-01,0.3591181237684338,0.450581276442218,0.0,0.08583992842956041,0.1315295890425525,0.1691053360802266,0.0,0.32305007492452587,0.09279039888341736
1992-03-31,0.352019114130364,0.39307530741730057,0.0,0.08052542469240054,0.13228926477430364,0.17021086595043725,0.0,0.33316193420710255,0.09362648150307751
1992-04-30,0.3449201044922942,0.3355693383923831,0.0,0.07521092095524065,0.13304894050605479,0.17131639582064792,0.0,0.34327379348967924,0.09446256412273764
1992-05-01,0.3446834708376919,0.3336524727582192,0.0,0.07503377083066866,0.13307426303044648,0.1713532468163216,0.0,0.34361085546576514,0.09449043354339298
1992-05-31,0.34128071490597583,0.3547770934495968,0.0,0.07363948400541559,0.13374526324199085,0.16736954374374036,0.0,0.3227832031734346,0.11729200673004608
1992-06-30,0.3378779589742597,0.3759017141409744,0.0,0.07224519718016252,0.13441626345353522,0.1633858406711591,0.0,0.30195555088110415,0.14009357991669918
1992-07-31,0.33436177784481974,0.39773048885539797,0.0,0.07080443412740102,0.13510963033879772,0.15926934749615845,0.0,0.28043364351236266,0.1636552055429074
1992-08-31,0.3308455967153798,0.4195592635698215,0.0,0.0693636710746395,0.13580299722406025,0.15515285432115783,0.0,0.2589117361436211,0.1872168311691156
1992-09-30,0.3274428407836637,0.4406838842611991,0.0,0.06796938424938644,0.13647399743560462,0.15116915124857658,0.0,0.23808408385129062,0.2100184043557687
1992-10-01,0.3273294155859398,0.441388038284245,0.0,0.067922908021878,0.13649636410932275,0.1510363611461572,0.0,0.2373898287748796,0.2107784567953238
1992-10-31,0.3237340873828924,0.43194583366782796,0.0,0.06648876600146349,0.13722509750135095,0.16289220852027847,0.0,0.21596387652899482,0.23438888797109994
1992-11-30,0.3201387591798449,0.4225036290514109,0.0,0.06505462398104897,0.13795383089337912,0.17474805589439976,0.0,0.19453792428311004,0.25799931914687607
1992-12-31,0.31642358670336257,0.4127466842811133,0.0,0.06357267722662065,0.13870685539847494,0.18699909818099175,0.0,0.17239777362902908,0.2823967646951781
1993-01-01,0.31630374242992765,0.4124319441272327,0.0,0.06352487249260683,0.13873114651154253,0.18739429309346245,0.0,0.17168357522083294,0.283183779067704
1993-01-31,0.31400757073999463,0.4029897395108157,0.0,0.056049809476386006,0.13708035889785222,0.19925014046758374,0.0,0.22929738564974173,0.2357002446608582
1993-02-28,0.31186447716272386,0.39417701520215975,0.0,0.0490730839945799,0.13553962379174128,0.21031559801676358,0.0,0.2830702753833899,0.1913822792144688
