Date,C,Co,H,O,P,Pi
1990-05-31,0.2460225389459728,0.05531156778256546,0.45885813722240637,0.13295492210805435,0.08928571428571429,0.01756711965528671
1991-05-31,0.16767189384800965,0.024205870526739042,0.6246883795737836,0.10625921458249564,0.07127730867175981,0.00589733279721217
1992-05-31,0.23823529411764705,0.03808049535603715,0.48010835913312694,0.14957430340557276,0.08943498452012384,0.00456656346749226
1993-05-31,0.2089451476793249,0.039367088607594934,0.4810970464135021,0.20628691983122363,0.05586497890295359,0.008438818565400843
1994-05-31,0.29348507930818174,0.04510559488604116,0.38919257998028495,0.22239149266660693,0.041969113122442274,0.007856140036442931
1995-05-31,0.31747376173816977,0.03955072730620512,0.3576136991345977,0.24746823789357392,0.02721414104216535,0.010679432885288161
1996-05-31,0.31345954264037507,0.04598647246179723,0.3763375442865834,0.22649679705113981,0.02748452206277064,0.010235121497333858
1997-05-31,0.29912255466052934,0.036680092059838895,0.3681674338319908,0.1876078826237054,0.10374712313003452,0.004674913693901036
1998-05-31,0.2357275646442454,0.04840290687848572,0.42311982423525435,0.22700692918708806,0.06097684637485212,0.004765928680074362
1999-05-31,0.2773603154527193,0.04869429357934677,0.4517521017781415,0.1695930362324232,0.04713190982813779,0.005468343129231456
2000-05-31,0.2923872875092387,0.03861049519586105,0.4112638580931264,0.15435328898743533,0.0989209164818921,0.004464153732446415
2001-05-31,0.27278472591804154,0.057843267695582755,0.3759978712080894,0.16365087812666312,0.12606439595529537,0.003658861096327834
2002-05-31,0.2962654974296946,0.061725128515270636,0.37450861808285457,0.20169337768370124,0.0589280314484427,0.006879346840036287
2003-05-31,0.19501766938615245,0.04611491645216177,0.4753719296714803,0.22311417477422452,0.05257187731774356,0.007809432398237424
2004-05-31,0.2458296440587923,0.059358951655746416,0.3826102355232867,0.2163980874800779,0.0915530370108022,0.004250044271294493
2005-05-31,0.11355240756801901,0.03604124506119302,0.4204811923805853,0.1715653207413832,0.25029713147666316,0.008062702772156372
2006-05-31,0.1647820778255561,0.06354515050167224,0.4101767797419971,0.26081647820778253,0.09338004990178904,0.007299463821202952
2007-05-31,0.2223435324944728,0.056200016376886756,0.3883232797445206,0.14010426617899938,0.19210088162240357,0.0009280235827169255
2008-04-30,0.19041239515377448,0.04916123019571295,0.5118825722273999,0.17823858341099721,0.06220876048462255,0.00809645852749301
2008-05-31,0.2058480506497834,0.045734755081639454,0.5759746751082973,0.12820726424525158,0.02599133622125958,0.018243918693768745
2009-04-30,0.18226101075705298,0.037751167038765986,0.5887626006359515,0.13936810770583857,0.03240646776266829,0.019450646099722618
2010-04-30,0.19887310530910246,0.052892627569240534,0.5682485517022459,0.1489961114197286,0.025394809935719388,0.005594794063963178
2011-05-31,0.1954608615099583,0.04832484174772271,0.5299366990890845,0.1989501312335958,0.01982399258916165,0.007503473830477073
2012-05-31,0.2065131425913003,0.03772970458246104,0.5383577576180507,0.18199581297976272,0.019585950220981623,0.015817632007443592
2013-04-30,0.239561802397685,0.051260851591566764,0.42310872261264987,0.24059528730880528,0.03885903265812319,0.006614303431169905
2013-05-31,0.23706549906174604,0.05620587972477884,0.45885086230006256,0.17835760879277993,0.024037172728085067,0.045482977392547586
2014-04-30,0.19836417713152676,0.04758757435558493,0.5207782551222736,0.187128222075347,0.039284534038334436,0.006857237276933245
2015-04-30,0.19856868744489967,0.04164289788933257,0.4912617331328113,0.226002178084323,0.02079551936939273,0.02172898407924078
2016-05-31,0.2273765343990865,0.029688838138738224,0.5222666286040537,0.1870777428870492,0.01765153677799981,0.015938719193072604
2017-04-30,0.1808753044708101,0.03661507032293549,0.5795552761844897,0.18810403080066002,0.013043136638642257,0.0018071815824624814
2018-05-31,0.18872889771598808,0.037140019860973185,0.5106752730883813,0.22338629592850048,0.01683217477656405,0.02323733862959285
2019-05-31,0.17376158705792052,0.04493121568164374,0.49530613449843536,0.25789691208596566,0.01062762000354254,0.017476530672492177
2020-05-31,0.1903232998885173,0.028494983277591972,0.5022519509476031,0.25935340022296544,0.008071348940914158,0.011505016722408027
2021-04-30,0.2010523238819059,0.0419760304004677,0.5231218941829874,0.21280327389652148,0.01385559777842736,0.007190879859690149
2022-06-30,0.18610263325999007,0.02604869046774079,0.4693022925686706,0.28525800269713963,0.0039037547022499823,0.029384626304208957
2023-04-30,0.20905163872706375,0.0211231324059763,0.4504418816629018,0.2954464391867792,0.015099274759243848,0.008837633258035113
