Date,C,Co,H,O,P,Pi,Total
1991-05-31,0.13311115467555382,0.08024570345683853,0.2336361062101113,0.5245376723518265,0.017316865973992027,0.011152497331677884,45909.0
1992-05-31,0.17415360804797833,0.04486360998258851,0.1750628748307216,0.5490423679628554,0.040917005223447475,0.01596053395240859,51690.0
1993-05-31,0.16781962082095653,0.03666194852574709,0.17134825860728453,0.5854149638165108,0.031757740076952215,0.006997468152548793,50161.0
1994-05-31,0.1772731312772198,0.034485823482357125,0.1483868100613279,0.5885550913992831,0.03935946434391017,0.011939679435901993,67506.0
1995-05-31,0.185510148935832,0.046397405941538315,0.1348211021569469,0.564684564398455,0.06009886668891962,0.00848791187830814,62913.0
1996-05-31,0.11822327930755462,0.05076870264571022,0.11800259912218326,0.6602751146310963,0.045092317877547014,0.007637986415908589,81566.0
1997-05-31,0.16939658502665533,0.05689046846429215,0.13648304102603723,0.5550490612686394,0.07059156815782018,0.011589276056555667,77658.0
1998-05-31,0.07709689524089211,0.038935930693553916,0.08054753397614736,0.7709934250240648,0.029473186171340936,0.002953028894000946,122586.0
1999-05-31,0.16211063239736542,0.058584658049819244,0.149965334521864,0.5421433169910365,0.08022582082900015,0.0069702372109146735,80772.0
2000-05-31,0.10638348175585152,0.04470801481598235,0.12363464417999842,0.6637166049334069,0.0521790527228308,0.009378201591930018,126890.0
2001-05-31,0.08470372485945345,0.0667708865706641,0.10324534768361242,0.6424706129934161,0.08541773141328203,0.017391696479571898,133052.0
2002-05-31,0.11635905433738548,0.07445698763697958,0.12165749165986718,0.6182852893483851,0.06242447402939445,0.006816702987988143,96821.0
2003-05-31,0.10115353269387499,0.06812530039913903,0.1378701439826134,0.610034898543456,0.0746766137964182,0.00813951058449836,95706.0
2004-05-31,0.11131659500036441,0.07719918373296407,0.12300488302601852,0.6228135704394724,0.05767618978208586,0.007989578019094818,109768.0
2005-05-31,0.08974494757416163,0.06611721435379979,0.13325502354107893,0.6590250430864328,0.042845726499841134,0.009012044944685686,103861.0
2006-05-31,0.1257130373570891,0.09715513265529044,0.19185863048280213,0.5050853217467292,0.07040561205913051,0.009782265698958662,82394.0
2007-01-31,0.0,0.0,0.0,1.0,0.0,0.0,3379.0
2007-05-31,0.11518666461822093,0.07866031648486711,0.1885594305320838,0.5351564500435295,0.07329594919854561,0.00914118912275311,78108.0
2008-04-30,0.19921808601053884,0.023570740551872627,0.42971273159952406,0.25956144824069355,0.06685931214233101,0.021077681455039944,17649.0
2008-05-31,0.15716687455935788,0.03140083518628993,0.4035468300883996,0.292152502847226,0.09637182059764629,0.019361136721080318,18439.0
2009-04-30,0.16155499712373975,0.011535317448303006,0.467225771291895,0.25547246359260045,0.07451027884586273,0.02970117169759908,33029.0
2010-05-31,0.19750198811807082,0.006829770313888759,0.5301492258034336,0.22051737849090144,0.02544791130654442,0.019553725967160967,21377.0
2011-04-30,0.19719585849870577,0.002890422778257118,0.42493528904227784,0.29352890422778255,0.06893874029335634,0.012510785159620362,23180.0
2012-05-31,0.2937031484257871,0.0046476761619190406,0.3604572713643178,0.28039730134932533,0.02732383808095952,0.033470764617691155,26680.0
2013-05-31,0.29919065941355977,0.01306886028923975,0.3700411304232453,0.2711954358498076,0.026071381186148334,0.020432532837999205,15074.0
2014-04-30,0.2820838627700127,0.017280813214739517,0.38392630241423126,0.26893265565438373,0.03157560355781448,0.016200762388818297,15740.0
2015-04-30,0.3961346710161876,0.024342955622576476,0.24299870745368377,0.2032067458607743,0.10475780144026589,0.02855911860651197,32494.0
2016-05-31,0.44761062658253287,0.036976005787548734,0.22458904384871992,0.23893734174671435,0.019171255174631245,0.0327157268598529,24881.0
2017-04-30,0.49652220438737293,0.039739286930298164,0.2110511211634807,0.22029281579843377,0.01765650080256822,0.014738070917846199,20559.0
2018-05-31,0.4767917958137221,0.04699039528565415,0.18271916733631807,0.25565377109401904,0.023456931848620518,0.014387938621666093,26133.0
2019-05-31,0.37292935013450373,0.06470338383123318,0.22431450280806078,0.2563594317806409,0.05517013544763792,0.02652319599792345,21189.0
2020-05-31,0.39942502086617826,0.04151596649046339,0.22062505796160622,0.22971343781878883,0.08868898574917308,0.020031531113790225,32349.0
2021-04-30,0.36916157305962405,0.044593088071348944,0.26198439241917504,0.21339330334832585,0.09172336908468842,0.019144274016837735,26013.0
2022-06-30,0.39593043813687356,0.027194702497669483,0.23915908579510753,0.1992670931241763,0.11755440547751454,0.020894274968658588,31109.0
2023-04-30,0.3395064019298571,0.03251066988309519,0.23525700501020597,0.22943032102430877,0.14128780849879383,0.0220077936537391,26945.0
