Date,C,Co,H,O,P,Pi,Total
1983-03-01,0.1203544072385624,0.0627936037766412,0.3405196352949343,0.3670249693379306,0.05697938120473,0.052328003147201,0.35728063126403387
1983-10-01,0.102997599238194,0.0377576795318291,0.2352853866478301,0.4448839631793776,0.1309206496810161,0.048154721721753,0.48314809449875584
1987-03-01,0.1435582260488367,0.0781754981958913,0.2731107715075431,0.3472025509257022,0.1034864176937414,0.0544665356282849,0.4004614101451015
1987-10-01,0.1374148544626908,0.0853066388680815,0.1916827760678222,0.3181557721671121,0.2204848512282722,0.0469551072060209,0.4748461338780529
1988-03-01,0.1018301292537042,0.0562769990884711,0.2109835730532486,0.2692468191683717,0.3288342299679294,0.0328282494682748,0.5647570039281322
1988-10-01,0.1020383613949174,0.0721788698017515,0.1318241258483471,0.5139169677191538,0.1459797366776998,0.0340619385581299,0.6723731506798255
1989-03-01,0.0991412645474263,0.0875594841056977,0.1268148424563285,0.4833825127690837,0.1715082678359027,0.031593628285561,0.6443587011234115
1989-10-01,0.0827565596416319,0.0916108438752833,0.1776226842946935,0.5424952986453104,0.0346580847404279,0.0708565288026528,0.5664066910824007
1990-03-01,0.0985440800393684,0.0992479663253639,0.2260045696655785,0.3518396303086273,0.1794910029288496,0.0448727507322124,0.4131679808209097
1990-10-01,0.0937988773140224,0.2012802408910231,0.1893262351682295,0.3371228069000935,0.1376782763605442,0.0407935633660871,0.5940955131050052
1991-03-01,0.0795787062208264,0.1817649994362058,0.2418308461266225,0.3399287944741475,0.0922389549377761,0.0646576988044214,0.438544363420939
1991-05-01,0.0718146798757369,0.1164462465383861,0.3049577274865071,0.3766524223883655,0.0814248190080444,0.0487041047029599,0.33836954221563376
1991-10-01,0.0670525177981844,0.1701227790902229,0.1821289112088398,0.3718455500571963,0.1209013369552079,0.0879489048903486,0.6093830858441306
1992-03-01,0.1201123898327468,0.1583226877985058,0.1691053360802266,0.3160671078939291,0.1807232599330666,0.0556692184615249,0.45058127644221807
1992-05-01,0.0919942805905367,0.0928558429052649,0.1713532468163216,0.4152470602381884,0.1643655150277104,0.0641840544219778,0.3336524727582192
1992-10-01,0.0769096687081042,0.1534810870865411,0.1510363611461572,0.3870224118485497,0.1383655254795333,0.0931849457311142,0.44138803828424505
1993-03-01,0.110076648156286,0.1177534944021538,0.2107107929292343,0.3687397315947415,0.1594918617248974,0.0332274711926869,0.3938622750482792
1993-05-01,0.1151640054025596,0.1102593081295103,0.1752826004489841,0.4118691726328519,0.1375457025656012,0.0498792108204927,0.2748688262257076
1993-10-01,0.1076127936623651,0.1708160406563845,0.175479884416542,0.300644899035832,0.1901345214449041,0.0553118607839721,0.5047567384908805
1994-03-01,0.1595527151456655,0.1075276204208181,0.1644305594943003,0.3240688914525367,0.1386199443979222,0.1058002690887568,0.44896988835152
1994-05-01,0.119465914454987,0.0758667912031218,0.1490974343215159,0.4469275038008972,0.158330694684776,0.0503116615347018,0.3641673878060397
1994-10-01,0.1563000089849108,0.0957433957176278,0.1890617917739757,0.3064680855352841,0.1235049178139697,0.1289218001742316,0.5752319247435981
1995-03-01,0.1026876862876778,0.1093481961145717,0.1703012726206241,0.3438041931008995,0.1559676279402039,0.1178910239360227,0.5673829197049409
1995-05-01,0.1231737102222151,0.1041111122116342,0.124925914047246,0.4013076276408142,0.2021064077223118,0.0443752281557785,0.36513640014143683
1995-10-01,0.0609990508396968,0.0890779790040017,0.1078894776756542,0.5785394378490788,0.1244878588565241,0.0390061957750442,0.7509078463131804
1996-03-01,0.0743920700708028,0.1225109546102563,0.11798237537147,0.3418251803026614,0.3184272332638482,0.0248621863809611,0.5068879199021804
1996-05-01,0.0853272586746938,0.104211528291909,0.1070202985803197,0.4799284058088922,0.1905043322621323,0.0330081763820526,0.46255878506201564
1996-10-01,0.0652343729792088,0.1653362855206592,0.1337640905728312,0.3531473616262781,0.2306890678824895,0.0518288214185329,0.5723451409922645
1997-03-01,0.0619444333572726,0.1540683421329545,0.1433728072776306,0.3012392207738255,0.2711502858300984,0.0682249106282183,0.5541528082406875
1997-05-01,0.0921463067259417,0.1028851620210702,0.1217584337294225,0.3696426288481081,0.2680849967658579,0.0454824719095994,0.5221916598415406
1997-10-01,0.0228504002188224,0.0932871583758638,0.0521771170772041,0.4060446875247718,0.3951041928745478,0.0305364439287899,1.0
1998-03-01,0.0478888276830295,0.0891883011693632,0.1070259614032359,0.3842353966603092,0.3423679948114266,0.0292935182726354,0.7581309506972987
1998-05-01,0.057456476281311,0.0804390667938355,0.1019333268966633,0.5946021053818034,0.1336487600456584,0.0319202646007283,0.607395289794787
1998-10-01,0.0323373666636978,0.1248152054595553,0.103522045408672,0.3105939074981459,0.4130314491259596,0.0157000258439692,0.7409498007265968
1999-03-01,0.0423621732186225,0.0930622979913866,0.1046522951663517,0.1919862037494222,0.5368564936150512,0.0310805362591657,0.8109475225125331
1999-05-01,0.0940371967236323,0.1070544486150277,0.1282882973894193,0.4026056400385506,0.2249210408775533,0.0430933763558166,0.5153535121947843
1999-10-01,0.0441828003486291,0.0756023698489178,0.0959044799276448,0.3400426590537995,0.3985282570624133,0.0457394337585953,0.7868348465919132
2000-03-01,0.0408269900374179,0.0829478586920728,0.0829588002378704,0.4867618232887253,0.2650589469483529,0.0414455807955606,0.8229016946812006
2000-05-01,0.0706590467762582,0.0867798489531746,0.1072679664182814,0.5221599785134705,0.1680278766420215,0.0451052826967936,0.685063282518277
2000-10-01,0.0359802984701395,0.0906261442694983,0.0921131364371131,0.3796518741459842,0.3717882308812103,0.0298403157960543,0.9867809994662458
