Date,C,Co,H,O,P,Pi,Total
1983-03-01,,,,,,,
1983-10-01,,,,,,,
1987-03-01,,,,,,,
1987-10-01,,,,,,,
1988-03-01,0.05460262262617779,0.028854823323478652,0.11097667138088499,0.1576502080525643,0.08309236443208154,0.020921964927627844,0.45609865474281525
1988-10-01,0.05972413381571882,0.03407406246436877,0.10437145789614384,0.20053281966025055,0.09865140967198881,0.021763275117502666,0.5191171586259736
1989-03-01,0.06254802234404526,0.041709495370545864,0.0979787700853494,0.21983819745834787,0.10810316612613806,0.021181628566478098,0.5513592799509047
1989-10-01,0.06042489023815199,0.0458260403106145,0.09622604052311019,0.2534845462351011,0.10374081699345379,0.0248460018379329,0.5845483361383647
1990-03-01,0.05551775947669117,0.045925751147933,0.09669764583475174,0.2523433124836713,0.0976335282076958,0.02409470837619283,0.572212705526936
1990-10-01,0.05516100216461341,0.06348512286688904,0.0953623290809324,0.2619881364904716,0.07685005055412139,0.025233766205282608,0.5780804073623106
1991-03-01,0.04841918986864679,0.06972129924065816,0.09884603940850836,0.2226941136920641,0.06530965421220207,0.02632435348845368,0.5313146499105332
1991-05-01,0.04050266264912744,0.066317728777566,0.10314087130378824,0.18588930962492473,0.048717421019816944,0.025548824753754258,0.4701168181289777
1991-10-01,0.03930002286862665,0.07667391860710875,0.1052167915160569,0.1697539939684874,0.059526352759690225,0.028241017361353694,0.47871209708132356
1992-03-01,0.04198104993975553,0.08274014998926502,0.10178036081189552,0.16916300422625857,0.06098046913725165,0.02954972210115897,0.48619475620558533
1992-05-01,0.03697477535017522,0.0650205287103328,0.0907192743496769,0.156816016528127,0.05558985199472037,0.028985701203195758,0.43410614813622816
1992-10-01,0.03678441829711263,0.0626270687049135,0.08284169208682618,0.16116665779947822,0.059714254811076416,0.031540791409482266,0.43467488310888935
1993-03-01,0.04059544604083431,0.06402242791815241,0.07880221721394731,0.16472365016920543,0.06676748456665857,0.030862203766620265,0.44577342967541844
1993-05-01,0.038754310996629605,0.04934980842047997,0.06624090615581281,0.14204637162698203,0.05959384377068888,0.022885336781140436,0.37887057775173383
1993-10-01,0.03879388876093824,0.05232647018160572,0.06871669734473915,0.143914095179982,0.06250207652581172,0.023452442168389397,0.3897056701614663
1994-03-01,0.0469819378622353,0.055785486609535515,0.0720470844292029,0.14530388829190072,0.06398112061270277,0.028669635474549184,0.4127691532801265
1994-05-01,0.04889365430278952,0.047762185655696586,0.06957324043511409,0.1436897599838963,0.06329831813976088,0.024107864667227908,0.3973250231844854
1994-10-01,0.058204397489451144,0.049501385375700965,0.07472590965457056,0.14990127140956638,0.0649435469555161,0.0363224422387439,0.4335989531235492
1995-03-01,0.06352604634449016,0.05584847580968838,0.08441517178372153,0.16627299757921526,0.07508081541623005,0.046958264886050344,0.49210177181939585
1995-05-01,0.06165743082322948,0.04620731764249538,0.07582324066586943,0.16522889434417937,0.07064576046466768,0.044615060209065645,0.4641777041495071
1995-10-01,0.056491491060840206,0.04992985556905264,0.07726137774257853,0.22301542019794804,0.07689430626996022,0.0409728449014594,0.5245652957418392
1996-03-01,0.05533206139213502,0.05682407792384388,0.07836286127292126,0.2251175468011395,0.09764391475324982,0.039828940017777745,0.5531094021610673
1996-05-01,0.04524408501201638,0.05544993794704833,0.06651262145505515,0.23425852151969231,0.10105901093140837,0.028050597359530183,0.5305747742247509
1996-10-01,0.041058752439352295,0.061967362121349304,0.0624992602529856,0.23566923143822205,0.1097670907238905,0.020605521506415675,0.5315672184822156
1997-03-01,0.038929047750793616,0.0714398916666066,0.0692663493007176,0.23974933896581901,0.12505954796124485,0.024926324456883916,0.5693705001020657
1997-05-01,0.039391721143654065,0.06880717569881116,0.06577958595823637,0.19146823789059786,0.13436211585198196,0.023818426264456165,0.5236272628077379
1997-10-01,0.036420112856337256,0.07504474278445926,0.06425424120624465,0.23802376447279147,0.18110157084502784,0.027405246662441006,0.6222496788273016
1998-03-01,0.035787538727112364,0.07892723351254828,0.07058154412217281,0.25188489372357603,0.2153896350279263,0.028793266841022368,0.6813641119543583
1998-05-01,0.03529998205934176,0.06977301164026925,0.06765246319248011,0.2836921620495625,0.20521840707914013,0.026738115694068875,0.6883741417148628
1998-10-01,0.033226718796477574,0.07119389107205785,0.06710330222010316,0.2963325487942814,0.23637378259427674,0.021503296734847733,0.7257335402120446
1999-03-01,0.03047381210895787,0.07554246436537577,0.07136055839640916,0.2888658364704406,0.29544792139469955,0.02179412001036002,0.7834847127462431
1999-05-01,0.035596211986888546,0.06791920990816913,0.07414789990759359,0.24915374509014548,0.23960985249634073,0.02012849579606239,0.6865554151852
1999-10-01,0.035287924881928626,0.06629324341325953,0.07301215848427718,0.2444050784720792,0.2504130818190471,0.0228847072935311,0.6922961943641228
2000-03-01,0.035027486127738525,0.07017316805362343,0.0742827814191406,0.25228480070796566,0.2778010476781606,0.02582819135477666,0.7353974753414055
2000-05-01,0.03991659675547175,0.0635667453671025,0.0736389226725812,0.27780042771045865,0.23961587943881296,0.029681599755314432,0.7242201716997416
2000-10-01,0.040146831848585626,0.06635864881202043,0.07484451734197757,0.3215889316168241,0.22591810316218436,0.030529834308891925,0.7593868670904842
2001-03-01,0.03532741510437682,0.07679481602100477,0.08183671367926289,0.34839400905533596,0.2577736383763336,0.03265735431370907,0.8327839465500231
2001-05-01,0.03537784059539079,0.0814395281157319,0.08029184308435344,0.36793204547384306,0.22641107975410554,0.03177736319556414,0.823229700218989
2001-10-01,0.03409276137114417,0.08967900252035269,0.08045256121029445,0.36701403463987714,0.23225283424483054,0.03309928717516544,0.8365904811616647
