YearSeason,C,Co,H,O,P,Pi,Total
1983-03-01,0.12035440723856246,0.06279360377664128,0.34051963529493434,0.36702496933793066,0.056979381204730055,0.05232800314720107,40.95048566690358
1983-10-01,0.10299759923819402,0.0377576795318291,0.23528538664783016,0.4448839631793776,0.1309206496810161,0.04815472172175305,55.37705486234898
1987-03-01,0.14355822604883678,0.07817549819589135,0.27311077150754315,0.34720255092570224,0.10348641769374142,0.05446653562828496,45.89974323062559
1987-10-01,0.13741485446269083,0.08530663886808154,0.19168277606782227,0.31815577216711216,0.22048485122827227,0.04695510720602094,54.42550784396596
1988-03-01,0.1018301292537042,0.05627699908847114,0.21098357305324866,0.26924681916837173,0.3288342299679294,0.03282824946827483,64.73083501006036
1988-10-01,0.10203836139491747,0.07217886980175159,0.13182412584834713,0.5139169677191538,0.14597973667769984,0.034061938558129966,77.06549043062202
1989-03-01,0.09914126454742637,0.08755948410569771,0.12681484245632857,0.4833825127690837,0.1715082678359027,0.031593628285561025,73.85455422350833
1989-10-01,0.08275655964163199,0.09161084387528337,0.1776226842946935,0.5424952986453104,0.034658084740427995,0.0708565288026528,64.91991744066047
1990-03-01,0.09854408003936842,0.0992479663253639,0.22600456966557853,0.3518396303086273,0.1794910029288496,0.0448727507322124,47.35613407525172
1990-10-01,0.09379887731402242,0.20128024089102317,0.18932623516822955,0.33712280690009355,0.13767827636054428,0.04079356336608719,68.09353114974556
1991-03-01,0.07957870622082644,0.18176499943620586,0.24183084612662256,0.33992879447414753,0.0922389549377761,0.06465769880442149,50.26470258136925
1991-10-01,0.06705251779818441,0.17012277909022294,0.18212891120883987,0.3718455500571963,0.12090133695520795,0.08794890489034865,69.84574908028502
1992-03-01,0.12011238983274683,0.1583226877985058,0.1691053360802266,0.3160671078939291,0.18072325993306662,0.05566921846152498,51.644339177978885
1992-10-01,0.07690966870810423,0.15348108708654115,0.15103636114615726,0.3870224118485497,0.13836552547953332,0.09318494573111427,50.59063647350093
1993-03-01,0.11007664815628604,0.1177534944021538,0.21071079292923436,0.3687397315947415,0.1594918617248974,0.03322747119268696,45.143369211020044
1993-10-01,0.1076127936623651,0.1708160406563845,0.175479884416542,0.300644899035832,0.19013452144490417,0.05531186078397212,57.853775928783676
1994-03-01,0.15955271514566557,0.10752762042081819,0.1644305594943003,0.32406889145253676,0.13861994439792227,0.10580026908875687,51.459646476674344
1994-10-01,0.15630000898491087,0.09574339571762787,0.18906179177397575,0.3064680855352841,0.12350491781396976,0.1289218001742316,65.9314405206308
1995-03-01,0.10268768628767785,0.10934819611457179,0.1703012726206241,0.3438041931008995,0.15596762794020397,0.11789102393602272,65.03180997755372
1995-10-01,0.06099905083969684,0.08907797900400173,0.10788947767565428,0.5785394378490788,0.12448785885652415,0.03900619577504424,86.06691297208539
1996-03-01,0.07439207007080284,0.12251095461025639,0.11798237537147005,0.3418251803026614,0.31842723326384825,0.02486218638096112,58.09804585611851
1996-10-01,0.0652343729792088,0.16533628552065927,0.13376409057283126,0.35314736162627813,0.23068906788248958,0.05182882141853291,65.60056561085973
1997-03-01,0.061944433357272614,0.15406834213295456,0.14337280727763063,0.3012392207738255,0.2711502858300984,0.06822491062821831,63.515412382834775
1997-10-01,0.02285040021882243,0.09328715837586386,0.052177117077204155,0.40604468752477185,0.3951041928745478,0.030536443928789972,114.61714429361487
1998-03-01,0.047888827683029586,0.08918830116936324,0.1070259614032359,0.38423539666030926,0.34236799481142666,0.029293518272635436,86.89480456952772
1998-10-01,0.032337366663697804,0.12481520545955534,0.10352204540867208,0.3105939074981459,0.4130314491259596,0.015700025843969224,84.92555022420554
1999-03-01,0.042362173218622526,0.09306229799138663,0.10465229516635174,0.19198620374942227,0.5368564936150512,0.031080536259165733,92.9484892023685
1999-10-01,0.044182800348629134,0.07560236984891788,0.09590447992764484,0.34004265905379955,0.39852825706241335,0.045739433758595315,90.18476314706965
2000-03-01,0.040826990037417944,0.0829478586920728,0.08295880023787047,0.4867618232887253,0.2650589469483529,0.04144558079556064,94.31864227873538
2000-10-01,0.035980298470139595,0.09062614426949836,0.09211313643711318,0.3796518741459842,0.3717882308812103,0.029840315796054336,113.1020202020202
2001-03-01,0.02761446381350973,0.12166721990816534,0.11455326885413102,0.3870503886225432,0.31188868754727134,0.03722597125437942,101.13116610517034
2001-10-01,0.030539543853359996,0.12302418416324334,0.07763301476484862,0.44505404415799854,0.277986593830744,0.0457626192298055,101.9755150646455
2002-03-01,0.02847549358688114,0.135579194913121,0.10317833485846865,0.3174437630090666,0.37679322875330656,0.03852998487915618,90.83834346100193
2002-10-01,0.03757332778964059,0.13520538615921351,0.12082003048299284,0.31092550105245365,0.3592043095749105,0.03627144494078901,85.46668060951437
2003-03-01,0.049236517256391533,0.12604548417636233,0.11816764141533967,0.27073519622047826,0.40080252643799424,0.035012634493433975,76.16298245614036
2003-10-01,0.03706801164304244,0.08817570242121524,0.09643415971604691,0.44569065666096547,0.29980281944262893,0.032828650116101074,108.30648055832502
2004-03-01,0.037549955163503665,0.08982015882569347,0.13652574366234219,0.3569208281743484,0.34258991613401474,0.03659339804009734,88.05474196988925
2004-10-01,0.03875183405882613,0.09594525238912525,0.07938988428301558,0.3663598391921422,0.37698488751227127,0.04256830256461962,97.88190779610194
2005-03-01,0.04458479622581625,0.10175164616410172,0.09917986801246668,0.33993994596608973,0.3796347967993971,0.03490894683212847,76.38920416276777
2005-10-01,0.04987178518503914,0.09571352712280239,0.10532417990221031,0.45875325631490554,0.25613163749353435,0.03420561398150833,81.2082419944122
