Date début,Acroporidae,Autres,Pocilloporidae,Poritidae,Total
2000-12-01,0.04844290657439446,0.0,0.726643598615917,0.22491349480968859,289.0
2001-09-01,0.6129032258064516,0.03225806451612903,0.06451612903225806,0.2903225806451613,31.0
2001-12-01,0.1590909090909091,0.015151515151515152,0.5606060606060606,0.26515151515151514,132.0
2002-09-01,0.038461538461538464,0.0,0.2692307692307692,0.6923076923076923,26.0
2002-12-01,0.03937007874015748,0.015748031496062992,0.7795275590551181,0.16535433070866143,127.0
2003-09-01,0.3888888888888889,0.027777777777777776,0.3888888888888889,0.19444444444444445,36.0
2003-12-01,0.016129032258064516,0.026881720430107527,0.8440860215053764,0.11290322580645161,186.0
2004-09-01,0.2727272727272727,0.0,0.2727272727272727,0.45454545454545453,11.0
2004-12-01,0.1016949152542373,0.01694915254237288,0.6949152542372882,0.1864406779661017,59.0
2005-09-01,0.21875,0.0,0.1875,0.59375,32.0
2005-12-01,0.01020408163265306,0.01020408163265306,0.7959183673469388,0.1836734693877551,98.0
2006-09-01,0.5063291139240507,0.012658227848101266,0.11392405063291139,0.3670886075949367,79.0
2006-12-01,0.021739130434782608,0.007246376811594203,0.8405797101449275,0.13043478260869565,138.0
2007-09-01,0.3333333333333333,0.0,0.5,0.16666666666666666,6.0
2007-12-01,0.028169014084507043,0.028169014084507043,0.8732394366197183,0.07042253521126761,71.0
2008-09-01,0.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,6.0
2008-12-01,0.015625,0.0,0.875,0.109375,64.0
2009-09-01,0.0,0.0,0.14285714285714285,0.8571428571428571,7.0
2009-12-01,0.0,0.046511627906976744,0.8604651162790697,0.09302325581395349,43.0
2010-09-01,0.25,0.0,0.25,0.5,4.0
2010-12-01,0.012345679012345678,0.0,0.823045267489712,0.1646090534979424,243.0
2011-09-01,0.25,0.0,0.375,0.375,8.0
2011-12-01,0.02127659574468085,0.0425531914893617,0.3191489361702128,0.6170212765957447,47.0
2012-09-01,0.375,0.0,0.25,0.375,8.0
2012-12-01,0.058823529411764705,0.0,0.7254901960784313,0.21568627450980393,51.0
2013-09-01,0.020833333333333332,0.0,0.2916666666666667,0.6875,48.0
2013-12-01,0.0,0.029411764705882353,0.5,0.47058823529411764,34.0
2014-09-01,0.0,0.0,0.0625,0.9375,16.0
2014-12-01,0.045454545454545456,0.0,0.2878787878787879,0.6666666666666666,66.0
2015-09-01,0.0,0.07142857142857142,0.0,0.9285714285714286,14.0
2015-12-01,0.0,0.0,0.6,0.4,35.0
2016-09-01,0.15789473684210525,0.05263157894736842,0.07894736842105263,0.7105263157894737,38.0
2016-12-01,0.01818181818181818,0.0,0.7454545454545455,0.23636363636363636,55.0
2017-09-01,0.0,0.0,0.0,1.0,5.0
2017-12-01,0.0,0.0,0.7777777777777778,0.2222222222222222,45.0
2019-09-01,0.15254237288135594,0.11864406779661017,0.7288135593220338,0.0,59.0
2020-06-01,0.14772727272727273,0.19318181818181818,0.6590909090909091,0.0,88.0
2021-09-01,0.09090909090909091,0.06060606060606061,0.7878787878787878,0.06060606060606061,66.0
